Date,SPY,EEM,TLT,GLD
2005-01-04,-0.01229496335088831,-0.03127225234281136,-0.010536411136795827,-0.006529845317733264
2005-01-05,-0.00692412703613452,-0.012317362868208897,0.005339313273692684,-0.0016392348746523818
2005-01-06,0.005071181700190942,-0.0006799060655858182,0.0006785419860274198,-0.012261333638891793
2005-01-07,-0.0014341940113779062,0.0019342193842051241,0.002262694666653548,-0.007381897245418499
2005-01-10,0.004716819605693467,0.0012528102214625627,0.0015793435350598473,0.002625627696485633
2005-01-11,-0.0069145822545099295,-0.00187949676852001,0.0058464020333105484,0.006178687004495116
2005-01-12,0.00329454997162416,0.01220615922449266,0.0013440987303591305,0.009197079351984367
2005-01-13,-0.008044462925000731,-0.004138532694869603,0.00958239263873755,0.0
2005-01-14,0.005257554515154033,0.017726963686720353,-0.00011010055451466961,-0.0065944371176744334
2005-01-18,0.010348893040843936,-0.0017843167804968574,0.0033213618720341577,0.0
2005-01-19,-0.010518396247574098,-0.013871679501654693,0.002870393522438957,-0.0014188078686102948
2005-01-20,-0.006108564399034984,-0.012493371675266996,0.0019811364089642003,-0.00023661866710279286
2005-01-21,-0.006146687845336417,0.01352782387922571,0.001098993827396389,0.011530935359385552
2005-01-24,-0.001971424371059401,-0.0015516736203324778,0.004276657986186531,0.0007016437791639085
2005-01-25,0.0028272623558192184,0.009017170554174971,-0.009454889595461974,-0.012469253807297102
2005-01-26,0.0029901589702953577,0.014513248126031466,0.0018772825628790577,0.010596989466519383
2005-01-27,0.0017047662310464013,0.0009607842483029109,-0.0018772825628791323,-0.0016410669918453088
2005-01-28,0.0,0.0009081777627885358,0.010000545185457043,0.001641066991845344
2005-01-31,0.00619714319567429,0.013084673911313965,0.0028390130884259437,-0.011070597267868664
2005-02-01,0.0063272385186904,0.008529459783296195,-0.0015879847796399327,-0.0028463668889051274
2005-02-02,0.003023060471792506,0.0031560662716797186,0.002300463223806742,0.0014241961696689009
2005-02-03,-0.002602335957501969,-0.0010344564575947247,-0.0005468084055065055,-0.011450495846862259
2005-02-04,0.010618965633510797,0.015500552891748726,0.013801507456301496,-0.005051101072885615
2005-02-07,-0.0013316342972912781,0.003148855646827846,0.007420238758999409,-0.0048344488376878625
2005-02-08,0.0011654059496282658,0.0019329376725266104,0.005662125114641805,-0.00024238789355093634
2005-02-09,-0.007515258203260408,-0.003239564216657229,0.0026596011738854314,0.001211167689359154
2005-02-10,0.0035978082116140883,0.004831335324383083,-0.013585378351288653,0.010594816644642752
2005-02-11,0.008564885711600571,0.009688679161767941,-0.0006461837203093103,0.007873160646245932
2005-02-14,-0.000745365728676509,0.007134401659919025,0.0031204937165587097,0.011107225145850637
